analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
primary,no_state,test,dangling_recall,+0.0296,+,no,1.04,0.3565,0.5403,n_gold_dangling,52.2,52.2,+0.0136,no,+0.0377,-0.0491,+0.1036,-0.0193,+0.0752
primary,no_rel,test,dangling_recall,+0.0873,+,no,2.11,0.1019,0.4077,n_gold_dangling,52.2,52.2,+0.0083,no,-0.0103,+0.0547,+0.2376,+0.0580,+0.0967
primary,no_src,test,dangling_recall,+0.0399,+,no,1.84,0.1403,0.4210,n_gold_dangling,52.2,52.2,+0.0144,YES,-0.0184,+0.0847,+0.0295,+0.0091,+0.0946
revive,no_motion,dev,precision,+0.0059,+,no,0.33,0.7566,1.0000,n_pred_matches,53.4,57.7,+0.0038,no,+0.0334,-0.0356,-0.0168,-0.0122,+0.0607
revive,no_time,dev,precision,+0.0084,+,no,0.32,0.7680,1.0000,n_pred_matches,53.9,57.7,+0.0123,no,+0.0536,-0.0404,-0.0511,-0.0055,+0.0853
revive,no_state,dev,precision,-0.0020,-,no,-0.20,0.8497,1.0000,n_pred_matches,57.2,57.7,+0.0305,YES,-0.0077,+0.0074,-0.0337,-0.0032,+0.0272
revive,no_rel,dev,precision,-0.0046,-,no,-0.36,0.7388,1.0000,n_pred_matches,47.8,57.7,+0.0167,no,-0.0270,+0.0228,-0.0056,-0.0380,+0.0250
revive,no_src,dev,precision,-0.0004,-,no,-0.02,0.9857,1.0000,n_pred_matches,54.7,57.7,+0.0148,YES,+0.0416,+0.0013,-0.0826,-0.0036,+0.0411
revive,no_motion,dev,recall,-0.0206,-,no,-1.16,0.3105,0.9900,n_gold_matches,109.9,109.9,-0.0088,no,+0.0220,-0.0788,+0.0103,-0.0330,-0.0235
revive,no_time,dev,recall,-0.0197,-,no,-0.81,0.4652,0.9900,n_gold_matches,109.9,109.9,+0.0029,no,+0.0255,+0.0079,-0.0243,+0.0045,-0.1122
