variant,seed,split,margin,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling,n_pred_identities,n_wrong_merges,scenario_id
m3_full,19521006,dev,0.0,104,34,0.6470588235294118,0.21153846153846154,0.31884057971014496,0.24390243902439024,0.9807692307692307,0.7025602409638554,0.29743975903614456,1328,395,0.3225806451612903,0.7017543859649122,57,124,82,20,sec_dev_0010
m3_full,19521006,dev,0.7,104,62,0.6612903225806451,0.3942307692307692,0.49397590361445776,0.23134328358208955,1.0673076923076923,0.7140957446808511,0.2859042553191489,2256,645,1.0,0.45614035087719296,57,26,134,31,sec_dev_0010
m3_full,19521006,dev,0.0,105,31,0.7419354838709677,0.21904761904761905,0.338235294117647,0.1553398058252427,1.0571428571428572,0.7845944103612815,0.21540558963871848,1467,316,0.3119266055045872,0.6071428571428571,56,109,103,16,sec_dev_0011
m3_full,19521006,dev,0.7,105,58,0.6379310344827587,0.3523809523809524,0.45398773006134974,0.2446043165467626,1.161904761904762,0.7568049977688531,0.24319500223114682,2241,545,0.8571428571428571,0.42857142857142855,56,28,139,34,sec_dev_0011
m3_full,19521006,test,0.0,110,32,0.75,0.21818181818181817,0.3380281690140845,0.1411764705882353,0.9090909090909091,0.7850980392156863,0.21490196078431373,1275,274,0.25925925925925924,0.6862745098039216,51,135,85,12,sec_test_0000
m3_full,19521006,test,0.7,110,63,0.7619047619047619,0.43636363636363634,0.5549132947976878,0.18439716312056736,0.9727272727272728,0.769809650287738,0.23019034971226207,2259,520,0.8064516129032258,0.49019607843137253,51,31,141,26,sec_test_0000
m3_full,19521006,test,0.0,106,39,0.717948717948718,0.2641509433962264,0.38620689655172413,0.14705882352941177,0.9811320754716981,0.7576769025367156,0.24232309746328437,1498,363,0.37383177570093457,0.7272727272727273,55,107,102,15,sec_test_0001
m3_full,19521006,test,0.7,106,62,0.6935483870967742,0.4056603773584906,0.5119047619047619,0.18571428571428572,1.0566037735849056,0.7342222222222222,0.2657777777777778,2250,598,0.8928571428571429,0.45454545454545453,55,28,140,26,sec_test_0001
m3_full,19521006,test,0.0,114,34,0.6176470588235294,0.18421052631578946,0.28378378378378377,0.22826086956521738,1.0263157894736843,0.7400568181818181,0.2599431818181818,1408,366,0.288,0.7659574468085106,47,125,92,21,sec_test_0002
m3_full,19521006,test,0.7,114,63,0.5873015873015873,0.32456140350877194,0.4180790960451978,0.29411764705882354,1.1929824561403508,0.7255834053586863,0.27441659464131374,2314,635,0.8666666666666667,0.5531914893617021,47,30,136,40,sec_test_0002
m3_full,19521006,test,0.0,111,29,0.7241379310344828,0.1891891891891892,0.30000000000000004,0.15625,0.9459459459459459,0.7732644017725259,0.22673559822747416,1354,307,0.2677165354330709,0.68,50,127,96,15,sec_test_0003
m3_full,19521006,test,0.7,111,61,0.7049180327868853,0.38738738738738737,0.5,0.2246376811594203,1.054054054054054,0.7391688770999116,0.2608311229000884,2262,590,0.78125,0.5,50,32,138,31,sec_test_0003
m3_full,19521006,test,0.0,109,23,0.7391304347826086,0.1559633027522936,0.2575757575757576,0.15294117647058825,0.981651376146789,0.7363265306122448,0.2636734693877551,1225,323,0.2302158273381295,0.6153846153846154,52,139,85,13,sec_test_0004
m3_full,19521006,test,0.7,109,51,0.7647058823529411,0.3577981651376147,0.48749999999999993,0.24817518248175183,1.110091743119266,0.7330912392192465,0.26690876078075354,2203,588,0.7222222222222222,0.5,52,36,137,34,sec_test_0004
m3_full,19521006,test,0.0,107,43,0.7209302325581395,0.2897196261682243,0.41333333333333333,0.2127659574468085,0.9252336448598131,0.7669220945083014,0.2330779054916986,1566,365,0.3333333333333333,0.6296296296296297,54,102,94,20,sec_test_0005
m3_full,19521006,test,0.7,107,58,0.7413793103448276,0.40186915887850466,0.5212121212121212,0.23484848484848486,1.0093457943925233,0.7419210053859964,0.2580789946140036,2228,575,0.78125,0.46296296296296297,54,32,132,31,sec_test_0005
m3_full,19521006,test,0.0,108,21,0.6190476190476191,0.12037037037037036,0.20155038759689922,0.12658227848101267,1.0185185185185186,0.7756584922797457,0.22434150772025432,1101,247,0.2847682119205298,0.8113207547169812,53,151,79,10,sec_test_0006
m3_full,19521006,test,0.7,108,53,0.6037735849056604,0.2962962962962963,0.39751552795031053,0.21323529411764705,1.1296296296296295,0.7609099350046425,0.23909006499535748,2154,515,0.65,0.49056603773584906,53,40,136,29,sec_test_0006
m3_full,19521006,test,0.0,112,34,0.8235294117647058,0.25,0.3835616438356164,0.1414141414141414,0.9285714285714286,0.7645003494060097,0.23549965059399022,1431,337,0.2916666666666667,0.7142857142857143,49,120,99,14,sec_test_0007
m3_full,19521006,test,0.7,112,62,0.7258064516129032,0.4017857142857143,0.517241379310345,0.19718309859154928,1.0625,0.7338222605694564,0.26617773943054357,2318,617,0.9259259259259259,0.5102040816326531,49,27,142,28,sec_test_0007
m3_full,19521006,test,0.0,106,41,0.6829268292682927,0.2641509433962264,0.38095238095238093,0.16494845360824742,0.9339622641509434,0.7482292337411462,0.2517707662588538,1553,391,0.38235294117647056,0.7090909090909091,55,102,97,16,sec_test_0008
m3_full,19521006,test,0.7,106,57,0.6666666666666666,0.3584905660377358,0.4662576687116564,0.18382352941176472,1.1132075471698113,0.7188057040998217,0.28119429590017825,2244,631,0.896551724137931,0.4727272727272727,55,29,136,25,sec_test_0008
m3_full,19521006,test,0.0,108,26,0.5384615384615384,0.12962962962962962,0.208955223880597,0.15384615384615385,1.0925925925925926,0.7723970944309928,0.22760290556900725,1239,282,0.25735294117647056,0.660377358490566,53,136,91,14,sec_test_0009
m3_full,19521006,test,0.7,108,59,0.559322033898305,0.3055555555555556,0.39520958083832336,0.3114754098360656,1.1944444444444444,0.7239858906525574,0.2760141093474427,2268,626,0.8333333333333334,0.4716981132075472,53,30,122,38,sec_test_0009
m3_full,19521006,test,0.0,110,27,0.7777777777777778,0.19090909090909092,0.30656934306569344,0.1956521739130435,1.0272727272727273,0.7782874617737003,0.2217125382262997,1308,290,0.2824427480916031,0.7254901960784313,51,131,92,18,sec_test_0010
m3_full,19521006,test,0.7,110,59,0.7796610169491526,0.41818181818181815,0.5443786982248521,0.23741007194244604,1.0727272727272728,0.7518470230334637,0.2481529769665363,2301,571,0.9259259259259259,0.49019607843137253,51,27,139,33,sec_test_0010
m3_full,19521006,test,0.0,98,40,0.75,0.30612244897959184,0.43478260869565216,0.1276595744680851,0.8673469387755102,0.7104913678618858,0.28950863213811423,1506,436,0.37373737373737376,0.5873015873015873,63,99,94,12,sec_test_0011
m3_full,19521006,test,0.7,98,61,0.7377049180327869,0.45918367346938777,0.5660377358490566,0.16030534351145037,0.9387755102040817,0.7181361352215623,0.28186386477843767,2189,617,0.9259259259259259,0.3968253968253968,63,27,131,21,sec_test_0011
