analysis,model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall,n_gold_dangling,n_gold_matches,n_pred_dangling,n_pred_identities,n_pred_matches,n_transitions
primary,no_rel,19521007,dev,0.6905724224689743,0.06585686690169255,0.11621575170972549,0.1693113226045443,0.9739497039279224,0.23033673145501057,0.7696632685449893,0.2075667643014534,0.8987812467098918,51.083333333333336,109.91666666666667,222.75,29.916666666666668,11.25,451.75
primary,no_rel,19521007,test,0.7991914518230308,0.07724411948192095,0.13855670106405332,0.13172234556200466,0.9580754062577592,0.21314187622916336,0.7868581237708365,0.2085696515480745,0.8852790274592539,52.15384615384615,108.84615384615384,221.92307692307693,31.384615384615383,10.923076923076923,447.84615384615387
primary,no_rel,19521008,dev,0.8237148268398268,0.05035648177883895,0.09243064400464907,0.12654108196871353,0.9738891739309702,0.2015899399006796,0.7984100600993206,0.2065286314402978,0.9455516828761521,51.083333333333336,109.91666666666667,234.41666666666666,24.916666666666668,7.166666666666667,340.0833333333333
primary,no_rel,19521008,test,0.831825866441251,0.05004050234734295,0.09220222523810694,0.08043251731398285,0.9773194150207183,0.1919917615436598,0.8080082384563401,0.2040452650812267,0.9094293512290533,52.15384615384615,108.84615384615384,233.6153846153846,25.692307692307693,7.0,336.61538461538464
primary,no_rel,19521009,dev,0.7188668317568574,0.1319412207660246,0.22202554618181206,0.1373337861635185,0.9629087810196085,0.21217623403921718,0.7878237659607827,0.22439998868425437,0.8041240850577612,51.083333333333336,109.91666666666667,183.66666666666666,58.083333333333336,20.166666666666668,814.4166666666666
primary,no_rel,19521009,test,0.7358828349153425,0.1296934974204531,0.21959207669970865,0.14062098484287916,0.9523761268541981,0.23215205949831,0.76784794050169,0.2292164777528835,0.8056045942541867,52.15384615384615,108.84615384615384,184.3846153846154,56.53846153846154,19.0,798.0769230769231
primary,no_rel,19521010,dev,0.6484551396316102,0.06793756623884994,0.12269118509687425,0.21332576874701373,0.9982034996618775,0.29400371858582075,0.7059962814141792,0.20723651341458452,0.8759188088293018,51.083333333333336,109.91666666666667,216.33333333333334,33.416666666666664,11.666666666666666,512.4166666666666
primary,no_rel,19521010,test,0.6842096499991238,0.08459910217015142,0.14871630457972684,0.19278939206346926,0.977358315868121,0.28152342515142137,0.7184765748485786,0.22187955801706613,0.9007324254974557,52.15384615384615,108.84615384615384,213.23076923076923,34.07692307692308,13.538461538461538,532.0769230769231
primary,no_src,19521006,dev,0.7208951187642447,0.19757603614548536,0.30872676381967634,0.21344333379503344,0.9874887889477036,0.2615163810555445,0.7384836189444554,0.26641994217041726,0.7624507895178136,51.083333333333336,109.91666666666667,146.25,74.0,30.083333333333332,1172.6666666666667
primary,no_src,19521006,test,0.7072138943016005,0.1786340904760208,0.2831105936099026,0.19292976179473642,0.9828236310722673,0.25445426640741364,0.7455457335925862,0.24891598469555706,0.7237931392378468,52.15384615384615,108.84615384615384,152.69230769230768,70.0,27.307692307692307,1101.5384615384614
primary,no_src,19521007,dev,0.7238136863136863,0.046955985204139954,0.0865032261345997,0.14485540160562674,0.9780054178771302,0.23896734286104124,0.761032657138959,0.20435750915690074,0.9327567757395082,51.083333333333336,109.91666666666667,235.41666666666666,24.166666666666668,7.0,330.8333333333333
primary,no_src,19521007,test,0.7063527284681131,0.05969315514352555,0.107556199851883,0.11589706752067822,0.969444829475419,0.22889470478756277,0.7711052952124373,0.20785510317258743,0.915244223911989,52.15384615384615,108.84615384615384,231.0,25.53846153846154,8.461538461538462,362.9230769230769
primary,no_src,19521008,dev,0.6234678364798288,0.19383383921837402,0.2947350641512849,0.2136414333683034,1.0486030865325013,0.2670527410161815,0.7329472589838185,0.3033323160816528,0.6925970409633612,51.083333333333336,109.91666666666667,117.16666666666667,92.66666666666667,34.416666666666664,1444.8333333333333
primary,no_src,19521008,test,0.694182776438274,0.20634006623886178,0.3156896385982408,0.18967506575150628,0.9996022099523816,0.24895391636641084,0.751046083633589,0.2876209290354748,0.7013569867010815,52.15384615384615,108.84615384615384,128.6153846153846,86.61538461538461,32.46153846153846,1325.6923076923076
primary,no_src,19521009,dev,0.7811162569600921,0.1630624437476287,0.2679880352238759,0.13859760386210956,0.9576156803687916,0.21776464846917312,0.7822353515308268,0.23869727919048644,0.776926253683496,51.083333333333336,109.91666666666667,166.25,69.91666666666667,22.75,976.75
