seed,split,variant,auc,ci_lo,ci_hi,d_auc_vs_sem,d_ci_lo,d_ci_hi,d_excludes_0,excludes_0.5
19521010,dev,score_total,0.9422415093238402,0.9400555266499535,0.944827584996184,,,,,
19521010,dev,sem_only,0.9650717870192194,0.9632376351669677,0.9667889057211979,,,,,
19521010,dev,marginal_b_time,0.5,0.5,0.5,,,,,False
19521010,dev,incr_b_time,0.9650717870192194,0.9632376351669677,0.9667889057211979,0.0,0.0,0.0,False,
19521010,dev,marginal_b_motion,0.48931847501477505,0.48407658184061086,0.49487002659869583,,,,,True
19521010,dev,incr_b_motion,0.9644423854563517,0.962690868458788,0.9661248252990232,-0.0006294015628676153,-0.000768482483739144,-0.0005067760802038495,True,
19521010,dev,marginal_b_state,0.7139102686999835,0.7089859597693867,0.7180605283699204,,,,,True
19521010,dev,incr_b_state,0.9171569555082711,0.9149690758530278,0.9193400411434292,-0.04791483151094822,-0.05052579532459603,-0.045346187154578506,True,
19521010,dev,marginal_b_rel,0.901407063241251,0.8952749355816277,0.9074102494252997,,,,,True
19521010,dev,incr_b_rel,0.9690082759569294,0.9662408663056575,0.9714903932181488,0.0039364889377100365,0.0014286128028445256,0.006410475777601068,True,
19521010,dev,marginal_b_src,0.5504884451647774,0.5473485524630691,0.554488424615622,,,,,True
19521010,dev,incr_b_src,0.9624853937762671,0.9606196844517735,0.9642127963292423,-0.0025863932429522896,-0.002708976653467243,-0.0024599423209168496,True,
19521010,test,score_total,0.9436290954647558,0.9409836679758804,0.9459766296751003,,,,,
19521010,test,sem_only,0.9669171737249029,0.9649144251229698,0.968845988564154,,,,,
19521010,test,marginal_b_time,0.5,0.5,0.5,,,,,False
19521010,test,incr_b_time,0.9669171737249029,0.9649144251229698,0.968845988564154,0.0,0.0,0.0,False,
19521010,test,marginal_b_motion,0.48483886872948156,0.4808476660940161,0.49021912306028503,,,,,True
19521010,test,incr_b_motion,0.966590662842859,0.9645811207011765,0.968506520054107,-0.00032651088204393997,-0.00044580232547063446,-0.000224534308492097,True,
19521010,test,marginal_b_state,0.714716211771724,0.710820307505533,0.7183292951604286,,,,,True
19521010,test,incr_b_state,0.9188067054615761,0.9153917360681584,0.9217044489822155,-0.04811046826332688,-0.05009963706019022,-0.046389334239300556,True,
19521010,test,marginal_b_rel,0.9029581650384138,0.8979242819733478,0.9082734115895272,,,,,True
19521010,test,incr_b_rel,0.9697173704779685,0.9674065869097539,0.9717527030885192,0.0028001967530655314,0.0011808567198614618,0.004222021308231361,True,
19521010,test,marginal_b_src,0.5534079874104288,0.5498602299744096,0.557359998897501,,,,,True
19521010,test,incr_b_src,0.9644868627611278,0.9623789356703984,0.9664631631202322,-0.0024303109637751064,-0.0026077933080695,-0.0022744027787343995,True,
