seed,knockout,split,decode,n_gold_matches,n_pred_matches,precision,recall,f1,wrong_merge_rate,fragmentation_rate,trajectory_consistency_rate,impossible_transition_rate,n_transitions,n_impossible_transitions,dangling_precision,dangling_recall,n_gold_dangling,n_pred_dangling
19521007,src,test,standard,108.84615384615384,0.46153846153846156,0.23076923076923078,0.002891098895997762,0.00569935700370483,0.028846153846153848,1.001443573868594,0.8903828279129795,0.10961717208702057,70.6923076923077,8.923076923076923,0.1952286707282854,0.98022226943901,52.15384615384615,262.0769230769231
19521007,src,test,revive,108.84615384615384,18.76923076923077,0.6865995325271345,0.12011804589944339,0.2008335553221487,0.13396115225185765,1.0030196083334884,0.7710165864249439,0.2289834135750561,930.8461538461538,221.3846153846154,0.23623984104516882,0.7578465186922004,52.15384615384615,170.0
19521008,__none__,dev,standard,109.91666666666667,34.25,0.708849348481769,0.22053125326237857,0.33536599913146525,0.185840269620798,0.9982048553122221,0.7466324938963679,0.25336750610363207,1463.25,371.25,0.30174141504642843,0.6770759268108341,51.083333333333336,114.83333333333333
19521008,__none__,dev,revive,109.91666666666667,59.833333333333336,0.6750112032950114,0.36727393019086324,0.4753689606884171,0.2661038593378449,1.1042065104511274,0.7175280452965153,0.2824719547034846,2283.0833333333335,645.0,0.8633445209571463,0.4989769002415509,51.083333333333336,29.333333333333332
19521008,__none__,test,standard,108.84615384615384,32.69230769230769,0.7032367260649754,0.21158097075086088,0.3240475463398107,0.17300658520152695,0.9782856353844593,0.7567045460017362,0.24329545399826388,1376.0,335.3076923076923,0.2888643842709971,0.6718429028882251,52.15384615384615,123.07692307692308
19521008,__none__,test,revive,108.84615384615384,63.61538461538461,0.6562310987418645,0.3856383696827592,0.485210442501887,0.2481112725421774,1.0488616109644338,0.7290996832469985,0.2709003167530014,2263.3846153846152,613.2307692307693,0.8478809690503238,0.4944224654483772,52.15384615384615,30.53846153846154
19521008,time,dev,standard,109.91666666666667,34.25,0.708849348481769,0.22053125326237857,0.33536599913146525,0.185840269620798,0.9982048553122221,0.7466324938963679,0.25336750610363207,1463.25,371.25,0.30174141504642843,0.6770759268108341,51.083333333333336,114.83333333333333
19521008,time,dev,revive,109.91666666666667,59.833333333333336,0.6750112032950114,0.36727393019086324,0.4753689606884171,0.2661038593378449,1.1042065104511274,0.7175280452965153,0.2824719547034846,2283.0833333333335,645.0,0.8633445209571463,0.4989769002415509,51.083333333333336,29.333333333333332
19521008,time,test,standard,108.84615384615384,32.69230769230769,0.7032367260649754,0.21158097075086088,0.3240475463398107,0.17300658520152695,0.9782856353844593,0.7567045460017362,0.24329545399826388,1376.0,335.3076923076923,0.2888643842709971,0.6718429028882251,52.15384615384615,123.07692307692308
19521008,time,test,revive,108.84615384615384,63.61538461538461,0.6562310987418645,0.3856383696827592,0.485210442501887,0.2481112725421774,1.0488616109644338,0.7290996832469985,0.2709003167530014,2263.3846153846152,613.2307692307693,0.8478809690503238,0.4944224654483772,52.15384615384615,30.53846153846154
19521008,motion,dev,standard,109.91666666666667,34.416666666666664,0.7081413819843289,0.22133253531366062,0.3361520306746766,0.1865779667177184,0.9973811074090349,0.7465375051502231,0.2534624948497769,1465.6666666666667,372.0,0.30175075719644756,0.6756139385067405,51.083333333333336,114.58333333333333
19521008,motion,dev,revive,109.91666666666667,60.083333333333336,0.6746434383439133,0.3688259629928961,0.4766219975504931,0.2673455424234615,1.1026544776490945,0.7172622309832288,0.2827377690167712,2283.0833333333335,645.5833333333334,0.8633445209571463,0.4989769002415509,51.083333333333336,29.333333333333332
19521008,motion,test,standard,108.84615384615384,32.76923076923077,0.699247544185327,0.21085528134592624,0.3228478863729555,0.17242108185210847,0.9804117780269872,0.7569560333764271,0.2430439666235728,1380.2307692307693,335.9230769230769,0.29005200417893706,0.6718429028882251,52.15384615384615,122.61538461538461
