model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall
no_rel,19521008,test,0.7422211060234686,0.45944031648803674,0.5670545164614762,0.2292614594537891,0.9055772191390884,0.3113975245776754,0.6886024754223248,0.8481038740326334,0.4818290791300673
no_rel,19521009,dev,0.7603377746805227,0.46845743657681954,0.57916038044992,0.22443687321435854,0.8912395845503679,0.304466031213561,0.6955339687864389,0.814346824034876,0.5044881238868044
no_rel,19521009,test,0.7469914596655107,0.4543541631534765,0.5646785931814314,0.22937370629935558,0.9044723495186786,0.3039642049184512,0.696035795081549,0.8231058030586103,0.48955822335675653
no_rel,19521010,dev,0.765164378605326,0.4055629136777125,0.5284908636661784,0.2054568050665563,0.8694921299052049,0.2853637720122534,0.7146362279877465,0.48974920470434075,0.5827757058500277
no_rel,19521010,test,0.7564660185375038,0.4053983475131217,0.5265158744552341,0.21069065228769415,0.8920226254664481,0.2934100447565898,0.7065899552434103,0.5005287409968556,0.5473401627471755
no_src,19521006,dev,0.777882156869602,0.4304354204674574,0.5536919243142474,0.19420934693050196,0.8639650462719293,0.2712213741266835,0.7287786258733164,0.541808953028427,0.5540451235906786
no_src,19521006,test,0.7491389675720542,0.4206884054358072,0.5381803945381891,0.21264447227563055,0.86870865445682,0.2843119970418846,0.7156880029581154,0.5564035170801472,0.5382725009400589
no_src,19521007,dev,0.7654811736939022,0.44582245877733495,0.5624651085694027,0.20152877259753513,0.870741612709072,0.2842214785059226,0.7157785214940774,0.5694953143036513,0.5399270630804428
no_src,19521007,test,0.7589361150636896,0.4539967933758718,0.5674585773692722,0.19493577261427217,0.8228504226272763,0.27952356347701346,0.7204764365229865,0.5677047656445017,0.5135222535508607
no_src,19521008,dev,0.7522029359023751,0.4512853204490506,0.563516950182216,0.21126780888706667,0.8712035913618646,0.28476429834758715,0.7152357016524129,0.6641634265453799,0.5259088562802813
no_src,19521008,test,0.7398949311409102,0.423497590307325,0.5379874176819924,0.22928015976369678,0.923745802022117,0.29493910603861895,0.7050608939613812,0.6595679078662933,0.5170803999185837
no_src,19521009,dev,0.7435594393769321,0.45826619357815135,0.566482779880798,0.22473905240947267,0.8965456890422074,0.29547979295552756,0.7045202070444724,0.7943946363459329,0.5111976699682176
no_src,19521009,test,0.767667068477372,0.4663714524173106,0.579566159378911,0.2195353774435032,0.8797117950037442,0.2941627606221464,0.7058372393778536,0.7948765451635471,0.4980349553793629
no_src,19521010,dev,0.751420944074133,0.4288731091685829,0.5452457522769077,0.1956491232694888,0.9068370201262069,0.27793968081415094,0.7220603191858489,0.6156163153570515,0.5344715918476607
no_src,19521010,test,0.7566125897336118,0.42791846474582934,0.5457579252899588,0.20116281854760493,0.8894167661561857,0.2837259001444665,0.7162740998555335,0.5995749484271496,0.5150928723954487
